Variance,Std_Dev,Label_R
0.000369,0.019209373,0.01
0.000441,0.021,0.01
0.000464,0.021540659,0.01
0.000524,0.022891046,0.01
0.000416,0.020396078,0.01
0.000364,0.019078784,0.01
0.000364,0.019078784,0.01
0.000181,0.013453624,0.01
0.000181,0.013453624,0.01
0.000204,0.014282857,0.01
0.000224,0.01496663,0.01
0.00024,0.015491933,0.01
0.000229,0.015132746,0.01
0.000181,0.013453624,0.01
0.000144,0.012,0.01
0.000144,0.012,0.01
8.1e-05,0.009,0.01
0.000105,0.010246951,0.01
0.000129,0.011357817,0.01
0.000156,0.012489996,0.01
0.00024,0.015491933,0.01
0.00024,0.015491933,0.01
0.000276,0.016613248,0.01
0.000281,0.016763055,0.01
0.000284,0.0168523,0.01
0.000284,0.0168523,0.01
0.000304,0.017435596,0.01
0.000285,0.016881943,0.01
0.000221,0.014866069,0.01
0.00014,0.01183216,0.01
0.000224,0.01496663,0.01
0.000209,0.014456832,0.01
0.000201,0.014177447,0.01
0.000184,0.01356466,0.01
0.000124,0.011135529,0.01
0.000124,0.011135529,0.01
0.000141,0.011874342,0.01
0.000164,0.012806248,0.01
0.000176,0.013266499,0.01
0.000149,0.012206556,0.01
0.000104,0.010198039,0.01
0.000105,0.010246951,0.01
8.4e-05,0.009165151,0.01
8.4e-05,0.009165151,0.01
8.5e-05,0.009219544,0.01
0.000101,0.010049876,0.01
0.000104,0.010198039,0.01
0.000104,0.010198039,0.01
0.000169,0.013,0.01
0.000201,0.014177447,0.01
0.000249,0.015779734,0.01
0.000281,0.016763055,0.01
0.000281,0.016763055,0.01
0.000281,0.016763055,0.01
0.000265,0.016278821,0.01
0.000265,0.016278821,0.01
0.000281,0.016763055,0.01
